timestamp_ms;temp_c;flow_l_min;total_liters;pulses_window
521;26.88;0.0;0.0;0
2301;26.94;0.0;0.0;0
4080;26.94;0.0;0.0;0
5861;26.94;0.0;0.0;0
7641;27.0;0.0;0.0;0
9420;27.0;2.267;0.042;17
11201;27.06;2.133;0.111;16
12981;27.06;1.733;0.171;13
14761;27.06;2.133;0.231;16
16541;27.12;2.0;0.264;15
18321;27.12;0.8;0.304;6
20100;27.12;1.867;0.362;14
21880;27.12;1.6;0.418;12
23660;27.19;1.333;0.44;10
25440;27.19;1.067;0.478;8
27220;27.19;1.467;0.522;11
29000;27.19;1.6;0.576;12
30780;27.19;1.467;0.624;11
32560;27.25;0.933;0.64;7
34340;27.25;0.0;0.647;0
36120;27.25;2.533;0.72;19
37900;27.31;2.4;0.796;18
39680;27.31;1.733;0.824;13
41460;27.31;1.467;0.887;11
43240;27.31;2.133;0.967;16
45019;27.31;0.0;0.967;0
46799;27.31;0.0;0.967;0
